"name";"age";"author";"text";"reyt"
"Анфиса";"37";"Анонимный Дон";"Привет, фото твои?";"5"
"Виктория";"28";"Анонимный Дон";"Приветик. Встретимся?";"5"
"Виктория";"28";"Анонимный Дон";"Салон или инди? Фото твои?";"3"
"ДианаЮля";"24";"Анонимный Дон";"Мужики,бабы пожар.главное что сущетсвуют!!!!!!";"5"
"ДианаЮля";"24";"Анонимный Дон";"все отлично,пару но все же нашлось<br />
цена 10 за одну <br />
но того стоит с Дианой 10 с +";"5"
"Эльза";"31";"Анонимный Дон";"Фото ваши? Салон или инди?";"1"
"Наина";"22";"Анонимный Дон";"Фотки не её, не ведитесь на анкету";"1"
"Лора";"24";"Анонимный Дон";"Рыжая бестия просто огонь во всем ещё приду.";"5"
"Лора";"24";"Анонимный Дон";"Сама хороша и пися как хороший причал для забавы.";"5"
"Лиза";"28";"Анонимный Дон";"Работаешь?";"5"
"Лиза";"28";"Анонимный Дон";"Привет. Могу приехать сейчас?";"5"
"Ангелина";"38";"Анонимный Дон";"Виот есть";"4"
"Анджелина";"21";"Анонимный Дон";"Спортсменочка! Отличная растяжка.....что бы придумать что нить новое сосала мне стоя в позе моста......а трахал ее на диване где она растянулась в шпагат! Дыра конечно увеличилась но все компенсировалось необычностью! Эксперементируйте что б мозг не закис....";"5"
"Есения";"19";"Анонимный Дон";"👍";"5"
"😘Злата😘";"23";"Анонимный Дон";"Трахал ее - классная девочка) сосет и вылизывает просто изумительно";"5"
"😘Злата😘";"23";"Анонимный Дон";"Был у неё сосет хуево секс на три вобщем не огонь.";"1"
"😘Злата😘";"23";"Анонимный Дон";"А я не проч от неё 😜";"5"
"Неля";"32";"Анонимный Дон";"ЭТО НЕ НАСТОЯЩИЕ АНКЕТЫ, РАЗВОД";"1"
"Неля";"32";"Анонимный Дон";"Был такой дамы там нет да и шалман там полный ушел от туда сразу.";"1"
"Люба";"24";"Анонимный Дон";"Работаешь, встретимся?";"5"
"Саша";"23";"Анонимный Дон";"Блин как же я люблю блондиночек! Чистенькая холененькая тельце очень ароматное и превлекательное.....я с ней станцевал    потом поставил на коленочки отсосик отменный до конца довести не дал понежился еще в кроватке.....сделал куни....потом посадил на себя....очень все очаровательно просто супер....";"5"
"Саша";"23";"Анонимный Дон";"sana nasıl ulaşabilirim...whatsap yada intagram yazsamısın..<br />
my whatsapp +905384259980";"1"
"Ева";"23";"Анонимный Дон";"Ева, ты ещё работаешь?";"5"
"Ева";"23";"Анонимный Дон";"Все было идеально и неожиданно, очень сексуальная и стройная девушка. Как бы был в рае, очень приятно общаться с тобой. Хочется снова к тебе вернуться! Огонь просто";"5"
"Ева";"25";"Анонимный Дон";"Тереториально где находишься точный адрес можеш написать";"2"
"Лиля";"27";"Анонимный Дон";"Похоже на салон!";"2"
"Лера";"22";"Анонимный Дон";"Красивая нет слов, приятный человек и сервис на уровне)";"5"
"Леся(БЕЗ ПРЕДОПЛАТЫ)";"25";"Анонимный Дон";"Привет это реально твой фото?";"5"
"НАСТЯ";"23";"Анонимный Дон";"Привет, это твои фото?";"4"
"НАСТЯ";"23";"Анонимный Дон";"А если оплата по факту, но когда мы встретимся, ты , допустим, окажешься другой девушкой, то можно отказаться?";"4"
"Лера";"23";"Анонимный Дон";"Девушка просто космос. Это салон, но девушки просто изумительны.";"5"
"Ирочка";"25";"Анонимный Дон";"Все было просто супер! Ни разу не пожалел, что приехал. Обязательно вернусь ещё и не раз 🙂🌹";"5"
"Амира";"32";"Анонимный Дон";"Сегодня звонил, и когда просил твои ли это фото?Злобный, грубый голос фыркнул нет, и бросил трубку. Через пару минут стал перезванивать сбросили сразу же. Вот такая якобы Амира со всеми описанными услугами, и проверянными фото.";"1"
"Амира";"32";"Анонимный Дон";"Ну а дама то симпатичная если фото не её?";"5"
"Елeнa";"28";"Анонимный Дон";"Как в думаете стоит трахать телку у которой сиськи выжали как сепаратором!? Иногда да если сконцентрироватся на крупе! Щелкнув звучно по ягодкам и засодив в анал своего конягу....болтающиеся тряпочки и не видно!!!!";"4"
"Лиза";"23";"Анонимный Дон";"Кто нибудь побывал у нее на фото соответствует ?";"1"
"Галя";"47";"Анонимный Дон";"Хорошенькая сучка👌Лизнул бы ей";"5"
"Галина";"22";"Анонимный Дон";"Отсосать у четверых и не подавиться! Глотка ненасытная...показалось даже что немного крышу ей снесло от чувствс! Ебли всю ночь и кучей и по очереди и по двое....как , мля, машина. Выносливая и неприхотливая...респект и не жаль чотко проведеный вечер.....встреча одноклассников....гы гы";"5"
